,good review,useful,funny,cool,is_open,business_stars_Bad,business_stars_Average,business_stars_Good,review_count_Low,review_count_Medium,review_count_High
133389,1,0,0,0,1,0,0,1,1,0,0
34891,0,0,0,0,1,0,0,1,1,0,0
267085,0,1,1,0,1,0,0,1,1,0,0
331010,0,0,0,0,1,0,1,0,1,0,0
168575,0,0,0,0,1,0,0,1,1,0,0
254329,0,0,0,0,1,1,0,0,1,0,0
192221,0,1,0,0,0,0,0,1,1,0,0
317419,0,0,0,0,0,0,0,1,1,0,0
229546,1,0,0,0,1,0,0,1,1,0,0
139192,0,1,0,0,1,0,0,1,1,0,0
330938,0,0,0,0,1,0,0,1,1,0,0
344054,0,0,0,0,1,0,1,0,1,0,0
200343,1,0,0,0,1,0,0,1,1,0,0
268068,0,0,0,0,1,0,0,1,1,0,0
309534,0,0,0,0,1,0,0,1,1,0,0
161967,0,1,0,0,1,0,0,1,1,0,0
232120,0,0,0,0,1,0,0,1,1,0,0
107029,1,0,0,0,1,0,0,1,1,0,0
191935,0,0,0,0,1,0,0,1,1,0,0
121484,1,0,0,0,1,0,0,1,1,0,0
209384,0,0,0,0,1,0,0,1,1,0,0
285703,0,0,0,0,1,0,0,1,1,0,0
272294,0,0,0,0,1,0,0,1,1,0,0
171143,1,0,0,0,1,0,0,1,1,0,0
278303,0,1,0,1,1,0,1,0,1,0,0
79625,0,0,0,0,1,0,0,1,1,0,0
283037,1,1,1,1,1,0,0,1,1,0,0
21419,1,0,0,0,1,0,0,1,1,0,0
328526,1,0,0,0,1,0,0,1,1,0,0
238334,1,0,0,0,1,0,0,1,1,0,0
303514,1,0,0,0,1,0,0,1,1,0,0
323731,1,1,0,0,1,0,0,1,1,0,0
145445,1,0,0,0,1,0,0,1,1,0,0
80965,1,0,0,0,1,0,0,1,0,0,0
86883,1,0,0,0,0,0,0,1,1,0,0
117051,0,1,0,1,1,0,0,1,1,0,0
183058,0,0,0,0,1,0,0,1,1,0,0
46971,0,1,0,0,1,0,0,1,1,0,0
29099,0,0,0,0,0,0,0,1,1,0,0
324090,1,0,0,0,0,0,0,1,1,0,0
288555,0,0,0,0,1,0,0,1,1,0,0
157881,0,1,1,1,1,0,0,1,1,0,0
229493,1,0,0,0,1,0,0,1,0,0,0
199202,0,0,0,0,1,0,0,1,1,0,0
162400,0,1,0,0,0,0,0,1,1,0,0
222967,1,0,0,0,0,0,0,1,1,0,0
95734,1,0,0,0,1,0,0,1,0,0,0
300462,0,0,0,0,1,1,0,0,1,0,0
161487,1,0,0,0,1,0,0,1,1,0,0
243002,1,0,0,0,1,0,0,1,1,0,0
53958,0,0,0,0,1,0,0,1,1,0,0
49073,1,0,0,0,1,0,1,0,1,0,0
26825,0,0,0,0,1,0,0,1,0,0,0
303438,1,1,0,0,1,0,0,1,1,0,0
270566,1,1,0,1,1,0,0,1,1,0,0
65934,1,0,0,0,1,0,0,1,1,0,0
272719,1,0,0,0,1,0,0,1,1,0,0
145451,1,0,0,0,1,0,0,1,1,0,0
89157,1,0,0,0,1,0,1,0,1,0,0
76301,1,0,0,0,0,0,0,1,1,0,0
260552,1,0,0,0,0,0,0,1,1,0,0
271992,1,0,0,0,1,0,0,1,0,0,0
91644,1,1,0,0,1,0,1,0,1,0,0
255690,1,0,0,0,1,0,0,1,1,0,0
122728,1,0,0,0,1,0,0,1,1,0,0
74012,1,0,0,0,1,0,0,1,1,0,0
158531,0,1,0,0,1,0,0,1,1,0,0
148285,0,1,0,1,0,0,0,1,1,0,0
265257,1,0,0,0,1,0,1,0,1,0,0
187793,0,0,0,0,1,0,1,0,1,0,0
102842,0,1,0,1,1,0,0,1,1,0,0
91059,1,0,0,0,0,0,0,1,1,0,0
148355,1,0,0,0,1,0,0,1,1,0,0
